country,country_code,iso3_code,forest_area_kha,forest_carbon_stock_mt_c,naturally_regenerating_forest_kha,planted_forest_kha,primary_forest_kha,industrial_roundwood_m3,roundwood_m3,sawnwood_m3,wood_fuel_m3,wood_pellets_t,selected_food_crop_area_kha,selected_food_production_kt,food_production_intensity_index,forest_area_ha,forest_carbon_stock_mtco2e,carbon_stock_density_tco2e_per_ha,harvest_total_m3,harvest_intensity_m3_per_ha,wood_fuel_share,naturally_regenerating_share,planted_share,primary_forest_share,material_recovery_ratio,biodiversity_pressure_proxy,has_positive_forest_area,has_positive_baseline_harvest,forest_policy_eligible,selected_food_crop_area_ha,selected_food_crop_share_of_forest_area,forest_carbon_opportunity_cost_tco2e_per_m3
Austria,AT,AUT,3901.092,404.49,2584.134,1316.95,63.0,14446818.0,20031299.0,9706492.0,5584481.0,1797723.0,790.33,6291.24,1.0015898860651689,3901092.0,1483.1299999999999,380.1832922679086,20031299.0,5.134792770844676,0.2787877610932771,0.6624129859024088,0.33758496338973804,0.016149324343030104,0.6718775027137464,3.401353411325325,True,True,True,790330.0,0.20259199219090449,0.6899977040214851
Belgium,BE,BEL,670.52,67.77,243.3,427.22,,4319390.0,5212140.0,1340000.0,892750.0,646860.0,457.99,8244.06,1.071550987516729,670520.0,248.48999999999998,370.5929726182664,5212140.0,7.77328043906222,0.17128281281776775,0.36285271132852115,0.637147288671479,,0.31022899066766374,2.820555883230684,True,True,True,457990.0,0.6830370458748434,0.7937287548497381
Bulgaria,BG,BGR,3946.4,406.136,3203.4,743.0,596.0,2507580.0,4405271.0,552881.0,1897691.0,152313.0,2031.1499999999999,10725.820000000002,0.9984284056997372,3946400.0,1489.1653333333334,377.3477937698493,4405271.0,1.116275846340969,0.4307773573975358,0.8117271437259275,0.18827285627407256,0.15102371781877152,0.22048389283691847,0.9061114043605971,True,True,True,2031149.9999999998,0.5146842692073789,0.5264083406023814
Croatia,HR,HRV,1944.88,201.572,1870.648,74.232,6.73,2843000.0,5458000.0,1125609.0,2615000.0,334808.0,525.77,3647.8500000000004,0.9942503117853814,1944880.0,739.0973333333333,380.0220750551876,5458000.0,2.8063428077824852,0.47911322828875047,0.9618320924684298,0.03816790753157007,0.0034603677347702687,0.39592296869504046,2.699230574993156,True,True,True,525770.0,0.27033544486035127,0.5956850892269114
Cyprus,CY,CYP,171.868,4.63,138.998,32.87,,1710.0,6500.0,1026.0,4790.0,0.0,26.729999999999997,181.91000000000003,0.9639815183664886,171868.0,16.976666666666667,98.77735626566125,6500.0,0.03781972211231876,0.7369230769230769,0.8087485744873972,0.19125142551260269,,0.6,0.03058664634584729,True,True,True,26729.999999999996,0.15552633416342773,0.3932622145517267
Czechia,CZ,CZE,2959.32,385.208,465.12,2494.202,19.202,14558000.0,17807000.0,4732000.0,3249000.0,472000.0,1400.0700000000002,8531.269999999999,0.9993260637566775,2959320.0,1412.4293333333333,477.28171787212375,17807000.0,6.01726072205777,0.1824563373954063,0.15717124204209074,0.8428294337888435,0.006488652798615898,0.32504464899024593,0.9457403413769074,True,True,True,1400070.0000000002,0.47310530797615674,0.7569138158166129
Denmark,DK,DNK,640.59,43.516,210.89,429.692,11.318,1781000.0,3842100.0,276000.0,2061100.0,180000.0,1337.09,10879.3,1.0261046982858717,640590.0,159.55866666666665,249.08079530849164,3842100.0,5.997752072308341,0.5364514197964655,0.32921213256529136,0.6707753789475327,0.01766808723208292,0.15496911847276812,1.9745327503225245,True,True,True,1337090.0,2.0872789147504642,0.6828169128407395
Estonia,EE,EST,2446.174,152.28,2196.584,249.588,54.008,5887198.0,9948940.0,1485000.0,4061742.0,1365000.0,413.97,1549.81,0.9984373072925473,2446174.0,558.36,228.25849673817152,9948940.0,4.067143220392335,0.40825876927592286,0.8979671928489142,0.10203198954775906,0.022078560233245878,0.2522422381581187,3.6521611805301983,True,True,True,413970.0,0.16923162456963406,0.5979726343627627
Finland,FI,FIN,22543.0,888.2,14707.05,7835.95,602.99,54637150.0,64450405.0,10976200.0,9813255.0,323626.0,977.1100000000001,4242.48,1.0007069351118483,22543000.0,3256.7333333333336,144.4676100489435,64450405.0,2.858998580490618,0.1522605637621672,0.6523998580490618,0.3476001419509382,0.026748436321696312,0.20089261610461015,1.8652102680745481,True,True,True,977110.0000000001,0.04334427538482013,0.5221473140595646
France,FR,FRA,17705.6,1411.926,15362.0,2343.6,,23690000.0,47799400.0,7687000.0,24109400.0,2000000.0,9335.880000000001,69461.45999999999,1.0097257021736794,17705600.0,5177.062,292.39686878727633,47799400.0,2.699676938369781,0.5043870843567074,0.8676350984999097,0.13236490150009037,,0.32448290417897846,2.3423344663403998,True,True,True,9335880.000000002,0.5272840231339239,0.563218340793305
Germany,DE,DEU,11476.6,1189.334,5738.3,5738.3,0.0,47296313.0,70831895.0,23225276.0,23535582.0,3700000.0,6408.329999999999,56671.03,1.022280688841929,11476600.0,4360.891333333333,379.98112100564043,70831895.0,6.171853597755433,0.33227378711243005,0.5,0.5,0.0,0.49105891192829343,3.0859267988777166,True,True,True,6408329.999999999,0.5583822734956345,0.7319152839746333
