county_name,productive_forest_area_kha,annual_increment_10000_m3sk,total_biomass_million_t_dry,nuts2_id
Blekinge län,201.0,141.3,27.0,SE22
Dalarnas län,1978.1,898.5,188.0,SE31
Gotlands län,127.9,40.5,13.0,SE21
Gävleborgs län,1520.4,837.2,157.0,SE31
Hallands län,299.6,212.3,41.0,SE23
Jämtlands län,2733.6,1198.1,282.0,SE32
Jönköpings län,696.1,463.5,90.0,SE21
Kalmar län,738.1,437.8,90.0,SE21
Kronobergs län,655.4,410.2,73.0,SE21
Norrbottens län,3967.8,1074.6,306.0,SE33
Skåne län,433.2,343.1,60.0,SE22
Stockholms län,317.0,186.7,42.0,SE11
Södermanlands län,347.2,211.4,40.0,SE12
Uppsala län,526.4,309.2,64.0,SE12
Värmlands län,1344.4,792.3,157.0,SE23
Västerbottens län,3183.3,1210.4,290.0,SE33
Västernorrlands län,1657.6,938.3,180.0,SE32
Västmanlands län,318.6,196.9,35.0,SE12
Västra Götalands län,1313.4,857.8,175.0,SE23
Örebro län,604.0,388.1,73.0,SE12
Östergötlands län,626.8,400.2,79.0,SE12
