country,country_code,iso3_code,scenario,scenario_label,scenario_description,forest_area_ha,harvest_total_m3,industrial_roundwood_m3,wood_fuel_m3,changed_harvest_m3,shifted_volume_m3,harvest_intensity_m3_per_ha,biodiversity_pressure_proxy,delta_biodiversity_pressure_proxy,supply_chain_savings_tco2e,substitution_gain_tco2e,forest_carbon_retention_tco2e,net_climate_benefit_tco2e,net_climate_benefit_tco2e_per_ha,benefit_tco2e_per_forest_ha,marginal_climate_benefit_tco2e_per_changed_m3,carbon_value_eur,carbon_value_eur_per_ha,value_eur_per_forest_ha,value_metric_basis,is_forest_only,includes_food_policy,available_policy_options,excluded_policy_categories,forest_policy_eligible,forest_carbon_opportunity_cost_tco2e_per_m3,carbon_stock_density_tco2e_per_ha,wood_fuel_share_baseline,material_recovery_ratio,naturally_regenerating_share,planted_share
Austria,AT,AUT,conservation_priority,Conservation Priority,"Reduce total harvest by 15 percent, taking the cut from wood fuel first to emulate a conservation-first policy that protects standing biomass.",3901092.0,17026604.15,14446818.0,2579786.15,3004694.85,0.0,4.364573855217975,2.891150399626526,-0.510203011698799,300469.4850000001,-1201877.9399999976,2073232.5477851816,1171824.092785184,0.3003836086883324,0.3003836086883324,0.38999770402148626,117182409.27851841,30.03836086883324,30.03836086883324,forest_ha,True,False,conservation_priority|material_cascade|bioenergy_push,food_land_safeguard,True,0.6899977040214851,380.1832922679086,0.2787877610932771,0.6718775027137464,0.6624129859024088,0.33758496338973804
Belgium,BE,BEL,conservation_priority,Conservation Priority,"Reduce total harvest by 15 percent, taking the cut from wood fuel first to emulate a conservation-first policy that protects standing biomass.",670520.0,4430319.0,4319390.0,110929.0,781821.0,0.0,6.607288373202888,2.3974725007460815,-0.4230833824846023,78182.09999999998,-312728.4000000004,620553.8088453771,386007.50884537667,0.5756838108414017,0.5756838108414017,0.49372875484973755,38600750.88453767,57.56838108414017,57.56838108414017,forest_ha,True,False,conservation_priority|material_cascade|bioenergy_push,food_land_safeguard,True,0.7937287548497381,370.5929726182664,0.17128281281776775,0.31022899066766374,0.36285271132852115,0.637147288671479
Bulgaria,BG,BGR,material_cascade,Material Cascade,Keep harvest volume constant but shift 20 percent of wood fuel volume into industrial roundwood uses.,3946400.0,4405271.0,2887118.2,1518152.8,379538.2,379538.2,1.116275846340969,0.9061114043605971,0.0,7590.7639999999665,265676.7400000007,0.0,273267.50400000066,0.06924475572673847,0.06924475572673847,0.7200000000000017,27326750.400000066,6.924475572673846,6.924475572673846,forest_ha,True,False,conservation_priority|material_cascade|bioenergy_push,food_land_safeguard,True,0.5264083406023814,377.3477937698493,0.4307773573975358,0.22048389283691847,0.8117271437259275,0.18827285627407256
Croatia,HR,HRV,material_cascade,Material Cascade,Keep harvest volume constant but shift 20 percent of wood fuel volume into industrial roundwood uses.,1944880.0,5458000.0,3366000.0,2092000.0,523000.0,523000.0,2.8063428077824852,2.699230574993156,0.0,10460.0,366099.99999999953,0.0,376559.99999999953,0.1936160585743077,0.1936160585743077,0.7199999999999991,37655999.999999955,19.36160585743077,19.36160585743077,forest_ha,True,False,conservation_priority|material_cascade|bioenergy_push,food_land_safeguard,True,0.5956850892269114,380.0220750551876,0.47911322828875047,0.39592296869504046,0.9618320924684298,0.03816790753157007
Cyprus,CY,CYP,material_cascade,Material Cascade,Keep harvest volume constant but shift 20 percent of wood fuel volume into industrial roundwood uses.,171868.0,6500.0,2668.0,3832.0,958.0,958.0,0.03781972211231876,0.03058664634584729,0.0,19.159999999999854,670.6000000000004,0.0,689.7600000000002,0.004013312542183537,0.004013312542183537,0.7200000000000002,68976.00000000003,0.4013312542183538,0.4013312542183538,forest_ha,True,False,conservation_priority|material_cascade|bioenergy_push,food_land_safeguard,True,0.3932622145517267,98.77735626566125,0.7369230769230769,0.6,0.8087485744873972,0.19125142551260269
Czechia,CZ,CZE,conservation_priority,Conservation Priority,"Reduce total harvest by 15 percent, taking the cut from wood fuel first to emulate a conservation-first policy that protects standing biomass.",2959320.0,15135950.0,14558000.0,577950.0,2671050.0,0.0,5.114671613749104,0.8038792901703713,-0.14186105120653614,267105.0,-1068419.9999999981,2021754.6477369647,1220439.6477369666,0.4124054335918274,0.4124054335918274,0.45691381581661394,122043964.77369666,41.24054335918274,41.24054335918274,forest_ha,True,False,conservation_priority|material_cascade|bioenergy_push,food_land_safeguard,True,0.7569138158166129,477.28171787212375,0.1824563373954063,0.32504464899024593,0.15717124204209074,0.8428294337888435
Denmark,DK,DNK,material_cascade,Material Cascade,Keep harvest volume constant but shift 20 percent of wood fuel volume into industrial roundwood uses.,640590.0,3842100.0,2193220.0,1648880.0,412220.0,412220.0,5.997752072308341,1.9745327503225245,0.0,8244.400000000023,288554.0,0.0,296798.4,0.4633203765278884,0.4633203765278884,0.7200000000000001,29679840.000000004,46.33203765278884,46.33203765278884,forest_ha,True,False,conservation_priority|material_cascade|bioenergy_push,food_land_safeguard,True,0.6828169128407395,249.08079530849164,0.5364514197964655,0.15496911847276812,0.32921213256529136,0.6707753789475327
Estonia,EE,EST,material_cascade,Material Cascade,Keep harvest volume constant but shift 20 percent of wood fuel volume into industrial roundwood uses.,2446174.0,9948940.0,6699546.4,3249393.6,812348.4,812348.4,4.067143220392335,3.6521611805301983,0.0,16246.967999999877,568643.8799999999,0.0,584890.8479999998,0.23910435153018542,0.23910435153018542,0.7199999999999996,58489084.799999975,23.91043515301854,23.91043515301854,forest_ha,True,False,conservation_priority|material_cascade|bioenergy_push,food_land_safeguard,True,0.5979726343627627,228.25849673817152,0.40825876927592286,0.2522422381581187,0.8979671928489142,0.10203198954775906
Finland,FI,FIN,conservation_priority,Conservation Priority,"Reduce total harvest by 15 percent, taking the cut from wood fuel first to emulate a conservation-first policy that protects standing biomass.",22543000.0,54782844.25,54637150.0,145694.25,9667560.75,0.0,2.4301487934170254,1.585428727863366,-0.27978154021118207,966756.0750000002,-3867024.299999997,5047890.879120167,2147622.6541201705,0.09526782833341484,0.09526782833341484,0.22214731405956467,214762265.41201705,9.526782833341484,9.526782833341484,forest_ha,True,False,conservation_priority|material_cascade|bioenergy_push,food_land_safeguard,True,0.5221473140595646,144.4676100489435,0.1522605637621672,0.20089261610461015,0.6523998580490618,0.3476001419509382
France,FR,FRA,material_cascade,Material Cascade,Keep harvest volume constant but shift 20 percent of wood fuel volume into industrial roundwood uses.,17705600.0,47799400.0,28511880.0,19287520.0,4821880.0,4821880.0,2.699676938369781,2.3423344663403998,0.0,96437.59999999963,3375316.0,0.0,3471753.5999999996,0.19608223386951018,0.19608223386951018,0.72,347175359.99999994,19.608223386951018,19.608223386951018,forest_ha,True,False,conservation_priority|material_cascade|bioenergy_push,food_land_safeguard,True,0.563218340793305,292.39686878727633,0.5043870843567074,0.32448290417897846,0.8676350984999097,0.13236490150009037
