nuts2_id,nuts2_name,country,country_code,total_area_km2,total_land_area_ha,woodland_area_km2,cropland_area_km2,grassland_area_km2,agricultural_land_area_km2,feed_land_area_km2,woodland_share_of_land,cropland_share_of_land,grassland_share_of_land,agricultural_land_share_of_land,feed_land_share_of_agricultural_land,permanent_crop_share_of_agricultural_land,cropland_share_of_agricultural_land,share_of_country_woodland,modal_scenario_share_best,regional_estimated_forest_area_ha,regional_baseline_harvest_m3,optimized_regional_harvest_after_policy_m3,optimized_regional_harvest_change_m3,selected_food_crop_area_kha,selected_food_production_kt,food_production_intensity_index,optimized_policy,optimized_policy_label,optimized_policy_description,optimized_policy_type,optimized_target_area_ha,optimized_target_cropland_area_ha,optimized_policy_changed_harvest_m3,optimized_policy_delta_biodiversity_pressure_proxy,optimized_food_land_proxy_tco2e_per_ha,optimized_food_capacity_indexed_ha,optimized_policy_benefit_tco2e,optimized_policy_benefit_tco2e_per_ha_land,optimized_policy_value_eur,optimized_policy_value_eur_per_ha_land,optimized_policy_benefit_tco2e_per_land_ha,optimized_policy_value_eur_per_land_ha,optimized_policy_benefit_tco2e_per_forest_ha,optimized_policy_value_eur_per_forest_ha,forest_policy_eligible,policy_option_eligible,is_forest_only,includes_food_policy,available_policy_options,excluded_policy_categories,selected_policy,selected_policy_label,selected_policy_value_eur_per_ha_land,selected_policy_value_eur_per_land_ha,switch_from_unconstrained,optimized_minus_unconstrained_value_eur_per_ha_land,optimized_minus_unconstrained_value_eur_per_land_ha
AT11,Burgenland,Austria,AT,2880.0,288000.0,333.0,1081.0,982.0,2063.0,982.0,0.115625,0.3753472222222222,0.34097222222222223,0.7163194444444444,0.47600581677169174,0.0,0.5239941832283083,0.15205479452054796,0.795,593179.7424657535,3045855.053424658,2588976.795410959,-456878.25801369874,790.33,6291.24,1.0015898860651689,conservation_priority,Conservation Priority,"Reduce total harvest by 15 percent, taking the cut from wood fuel first to emulate a conservation-first policy that protects standing biomass.",forest_biomass,33300.0,0.0,3004694.85,-0.510203011698799,0.0,0.0,178181.4716426787,0.6186856654259677,17818147.164267868,61.86856654259676,0.6186856654259677,61.86856654259676,0.3003836086883324,30.03836086883324,True,True,False,True,conservation_priority|material_cascade|bioenergy_push|food_land_safeguard,,conservation_priority,Conservation Priority,61.86856654259676,61.86856654259676,False,0.0,0.0
AT12,Niederösterreich,Austria,AT,2880.0,288000.0,410.0,1327.0,719.0,2046.0,719.0,0.1423611111111111,0.46076388888888886,0.24965277777777778,0.7104166666666667,0.3514173998044966,0.0,0.6485826001955034,0.1872146118721461,0.795,730341.4246575342,3750151.8675799086,3187629.087442922,-562522.7801369866,790.33,6291.24,1.0015898860651689,conservation_priority,Conservation Priority,"Reduce total harvest by 15 percent, taking the cut from wood fuel first to emulate a conservation-first policy that protects standing biomass.",forest_biomass,41000.0,0.0,3004694.85,-0.510203011698799,0.0,0.0,219382.59271320797,0.7617451135875276,21938259.271320798,76.17451135875277,0.7617451135875276,76.17451135875277,0.3003836086883324,30.03836086883324,True,True,False,True,conservation_priority|material_cascade|bioenergy_push|food_land_safeguard,,conservation_priority,Conservation Priority,76.17451135875277,76.17451135875277,False,0.0,0.0
AT31,Oberösterreich,Austria,AT,3687.0,368700.0,282.0,1875.0,903.0,2778.0,903.0,0.07648494711147275,0.5085435313262815,0.2449145646867372,0.7534580960130187,0.3250539956803456,0.0,0.6749460043196545,0.12876712328767123,0.795,502332.39452054794,2579372.7479452053,2192466.8357534246,-386905.91219178075,790.33,6291.24,1.0015898860651689,conservation_priority,Conservation Priority,"Reduce total harvest by 15 percent, taking the cut from wood fuel first to emulate a conservation-first policy that protects standing biomass.",forest_biomass,28200.0,0.0,3004694.85,-0.510203011698799,0.0,0.0,150892.41742713327,0.40925526831335307,15089241.742713328,40.92552683133531,0.40925526831335307,40.92552683133531,0.30038360868833236,30.03836086883324,True,True,False,True,conservation_priority|material_cascade|bioenergy_push|food_land_safeguard,,conservation_priority,Conservation Priority,40.92552683133531,40.92552683133531,False,0.0,0.0
AT32,Salzburg,Austria,AT,3678.0,367800.0,348.0,1949.0,593.0,2542.0,811.0,0.09461663947797716,0.5299075584556824,0.1612289287656335,0.6911364872213159,0.3190401258851298,0.004720692368214005,0.7667191188040913,0.1589041095890411,0.795,619899.5506849316,3183055.7315068496,2705597.371780822,-477458.3597260276,790.33,6291.24,1.0015898860651689,conservation_priority,Conservation Priority,"Reduce total harvest by 15 percent, taking the cut from wood fuel first to emulate a conservation-first policy that protects standing biomass.",forest_biomass,34800.0,0.0,3004694.85,-0.510203011698799,0.0,0.0,186207.66405901557,0.5062742361582805,18620766.40590156,50.62742361582806,0.5062742361582805,50.62742361582806,0.3003836086883324,30.038360868833244,True,True,False,True,conservation_priority|material_cascade|bioenergy_push|food_land_safeguard,,conservation_priority,Conservation Priority,50.62742361582806,50.62742361582806,False,0.0,0.0
AT22,Steiermark,Austria,AT,3687.0,368700.0,216.0,1902.0,1014.0,2916.0,1014.0,0.05858421480878763,0.51586655817738,0.27502034174125306,0.790886899918633,0.3477366255144033,0.0,0.6522633744855967,0.09863013698630137,0.795,384765.23835616437,1975689.7643835617,1679336.2997260273,-296353.4646575344,790.33,6291.24,1.0015898860651689,conservation_priority,Conservation Priority,"Reduce total harvest by 15 percent, taking the cut from wood fuel first to emulate a conservation-first policy that protects standing biomass.",forest_biomass,21600.0,0.0,3004694.85,-0.510203011698799,0.0,0.0,115577.17079525102,0.3134721204102279,11557717.079525104,31.347212041022793,0.3134721204102279,31.347212041022793,0.3003836086883324,30.038360868833244,True,True,False,True,conservation_priority|material_cascade|bioenergy_push|food_land_safeguard,,conservation_priority,Conservation Priority,31.347212041022793,31.347212041022793,False,0.0,0.0
AT34,Vorarlberg,Austria,AT,1576.0,157600.0,121.0,40.0,458.0,498.0,458.0,0.07677664974619289,0.025380710659898477,0.2906091370558376,0.315989847715736,0.9196787148594378,0.0,0.08032128514056225,0.055251141552511415,0.795,215539.78630136987,1106752.1365296803,940739.3160502282,-166012.82047945214,790.33,6291.24,1.0015898860651689,conservation_priority,Conservation Priority,"Reduce total harvest by 15 percent, taking the cut from wood fuel first to emulate a conservation-first policy that protects standing biomass.",forest_biomass,12100.0,0.0,3004694.85,-0.510203011698799,0.0,0.0,64744.618825117475,0.4108161092964307,6474461.882511748,41.08161092964307,0.4108161092964307,41.08161092964307,0.3003836086883324,30.038360868833244,True,True,False,True,conservation_priority|material_cascade|bioenergy_push|food_land_safeguard,,conservation_priority,Conservation Priority,41.08161092964307,41.08161092964307,False,0.0,0.0
AT13,Wien,Austria,AT,2880.0,288000.0,480.0,1179.0,797.0,1976.0,797.0,0.16666666666666666,0.409375,0.2767361111111111,0.6861111111111111,0.4033400809716599,0.0,0.59665991902834,0.2191780821917808,0.795,855033.8630136986,4390421.698630136,3731858.443835616,-658563.2547945203,790.33,6291.24,1.0015898860651689,conservation_priority,Conservation Priority,"Reduce total harvest by 15 percent, taking the cut from wood fuel first to emulate a conservation-first policy that protects standing biomass.",forest_biomass,48000.0,0.0,3004694.85,-0.510203011698799,0.0,0.0,256838.15732278005,0.8917991573707641,25683815.732278004,89.1799157370764,0.8917991573707641,89.1799157370764,0.3003836086883324,30.038360868833237,True,True,False,True,conservation_priority|material_cascade|bioenergy_push|food_land_safeguard,,conservation_priority,Conservation Priority,89.1799157370764,89.1799157370764,False,0.0,0.0
BE21,Prov. Antwerpen,Belgium,BE,1804.0,180400.0,275.0,741.0,365.0,1106.0,404.0,0.1524390243902439,0.4107538802660754,0.20232815964523282,0.6130820399113082,0.36528028933092227,0.03164556962025317,0.6699819168173599,0.002713423057189091,0.9975,1819.4044283064293,14142.74085329755,14142.74085329755,0.0,457.99,8244.06,1.071550987516729,food_land_safeguard,Food-Land Safeguard,"Treat agricultural land as a constrained food and feed resource, and value retaining a small share of cropland and grassland against diversion into additional biomass supply.",food_land,5530.0,3705.0,0.0,0.0,0.3863890118112299,3970.0964087494813,2136.7312353161014,0.01184440817802717,213673.12353161015,1.184440817802717,0.01184440817802717,1.184440817802717,,,False,True,False,True,conservation_priority|material_cascade|bioenergy_push|food_land_safeguard,,food_land_safeguard,Food-Land Safeguard,1.184440817802717,1.184440817802717,False,0.0,0.0
BE31,Prov. Brabant wallon,Belgium,BE,61248.0,6124800.0,25063.0,18064.0,10813.0,28877.0,13056.0,0.4092051985370951,0.294932079414838,0.17654454022988506,0.4714766196447231,0.4521245281712089,0.041971118883540534,0.6255497454721751,0.24729644393574615,0.9975,165817.2115877965,1288943.68729526,1095602.1342009709,-193341.55309428903,457.99,8244.06,1.071550987516729,conservation_priority,Conservation Priority,"Reduce total harvest by 15 percent, taking the cut from wood fuel first to emulate a conservation-first policy that protects standing biomass.",forest_biomass,2506300.0,0.0,781821.0,-0.4230833824846023,0.0,0.0,95458.28426995773,0.015585534918684321,9545828.426995773,1.558553491868432,0.015585534918684321,1.558553491868432,0.5756838108414017,57.56838108414017,True,True,False,True,conservation_priority|material_cascade|bioenergy_push|food_land_safeguard,,conservation_priority,Conservation Priority,1.558553491868432,1.558553491868432,False,0.0,0.0
BE22,Prov. Limburg (BE),Belgium,BE,1804.0,180400.0,277.0,701.0,277.0,978.0,364.0,0.15354767184035475,0.3885809312638581,0.15354767184035475,0.5421286031042128,0.3721881390593047,0.03987730061349693,0.7167689161554193,0.002733157043059557,0.9975,1832.6364605122942,14245.59715041244,14245.59715041244,0.0,457.99,8244.06,1.071550987516729,food_land_safeguard,Food-Land Safeguard,"Treat agricultural land as a constrained food and feed resource, and value retaining a small share of cropland and grassland against diversion into additional biomass supply.",food_land,4890.0,3505.0,0.0,0.0,0.389005341405893,3755.7862112461353,1902.2361194748166,0.010544546116822708,190223.61194748167,1.0544546116822708,0.010544546116822708,1.0544546116822708,,,False,True,False,True,conservation_priority|material_cascade|bioenergy_push|food_land_safeguard,,food_land_safeguard,Food-Land Safeguard,1.0544546116822708,1.0544546116822708,False,0.0,0.0
