nuts2_id,nuts2_name,country,selected_policy_label,best_forest_policy_label,food_vs_best_forest_margin_eur_per_ha_land,food_land_policy_value_eur_per_ha_land,best_forest_policy_value_eur_per_ha_land,agricultural_land_share_of_land,woodland_share_of_land,feed_land_share_of_agricultural_land,cropland_share_of_agricultural_land,food_production_intensity_index
CY00,Kýpros,Cyprus,Food-Land Safeguard,Material Cascade,1.477159872782691,1.5212537166745275,0.044093843891836626,0.8054081697884038,0.06737838010611776,0.40677831573934436,0.6052067624414637,0.9639815183664886
FRM0,Corse,France,Food-Land Safeguard,Material Cascade,1.1212287346914411,1.2065627734948277,0.0853340388033865,0.5590759075907591,0.034323432343234324,0.6523022432113341,0.3476977567886659,1.0097257021736794
FRK2,Rhône-Alpes,France,Food-Land Safeguard,Material Cascade,1.0951330162401525,1.3322829154148719,0.2371498991747195,0.5964912280701754,0.09538747531079354,0.7276977015971952,0.3428126217374367,1.0097257021736794
FRK1,Auvergne,France,Food-Land Safeguard,Material Cascade,1.0820343414525104,1.3122517222591505,0.23021738080664003,0.5883583130010457,0.0925990472870919,0.7245260663507109,0.3169431279620853,1.0097257021736794
FRI2,Limousin,France,Food-Land Safeguard,Material Cascade,1.0486351022302651,1.3758396276320801,0.3272045254018149,0.6224254630433116,0.13160964308633655,0.7031592462422348,0.32020439130040074,1.0097257021736794
FRJ1,Languedoc-Roussillon,France,Food-Land Safeguard,Material Cascade,1.0370052418022224,1.3805390563411708,0.3435338145389485,0.5979842950147516,0.13817768157098956,0.8002682432802322,0.2927273224941151,1.0097257021736794
FRI3,Poitou-Charentes,France,Food-Land Safeguard,Material Cascade,0.9319975765016114,1.2494385468489622,0.31744097034735075,0.5689872983455964,0.12768250303717665,0.6850624937931817,0.36895455899669444,1.0097257021736794
BE10,Région de Bruxelles-Capitale/ Brussels Hoofdstedelijk Gewest,Belgium,Food-Land Safeguard,Conservation Priority,0.6688748795672451,1.2579195626049746,0.5890446830377295,0.6557649667405765,0.15465631929046564,0.37531699070160607,0.6246830092983939,1.071550987516729
BE21,Prov. Antwerpen,Belgium,Food-Land Safeguard,Conservation Priority,0.6038412198264603,1.184440817802717,0.5805995979762567,0.6130820399113082,0.1524390243902439,0.36528028933092227,0.6699819168173599,1.071550987516729
DE30,Berlin,Germany,Food-Land Safeguard,Conservation Priority,0.5386420839193622,1.0940587781212852,0.555416694201923,0.6359573048699133,0.2751834556370914,0.20696527850624147,0.7930347214937585,1.022280688841929
